lambda_aux,lambda_gate,All_MAE,All_MSE,All_GM,Many_MAE,Many_MSE,Many_GM,Med_MAE,Med_MSE,Med_GM,Few_MAE,Few_MSE,Few_GM,Macro_MAE,Macro_MSE,Macro_GM
0.0000,0.0100,7.4525,93.7550,4.8231,6.7647,76.8072,4.3448,8.5781,115.6164,6.0031,10.8357,193.3608,7.0611,8.7261,128.5948,5.6895
0.0100,0.0100,7.1000,88.8098,4.4153,6.5424,75.4653,4.0219,7.9562,109.3419,5.1135,9.9979,158.0618,7.1038,8.1655,114.2896,5.2668
0.0100,0.1000,7.3246,91.6582,4.6153,6.7108,77.0272,4.1869,8.3912,114.1900,5.6530,10.1725,167.5292,6.6109,8.4248,119.5821,5.3886
0.0300,0.0100,7.2885,92.0536,4.5997,6.6444,74.7512,4.2000,8.3490,118.6408,5.4477,10.4386,181.9398,6.7994,8.4773,125.1106,5.3783
0.1000,0.0000,7.1060,85.2834,4.5930,6.4492,70.1166,4.1941,8.1443,106.9582,5.3934,10.4377,168.5849,6.9478,8.3437,115.2199,5.3965
0.1000,0.0010,7.0356,85.4966,4.4797,6.5219,72.1142,4.1489,7.7629,105.1089,5.1433,9.8768,157.6492,6.3109,8.0538,111.6241,5.1257
0.1000,0.0030,7.2717,91.1414,4.6186,6.6772,77.4708,4.2311,8.2062,108.8497,5.5901,10.3022,171.2819,6.2331,8.3952,119.2008,5.2827
0.1000,0.0100,6.9669,84.5774,4.3918,6.3671,68.9212,4.0968,8.0524,110.9996,5.0715,9.6290,159.3723,5.6878,8.0162,113.0977,4.9073
0.1000,0.1000,7.0951,85.3327,4.5772,6.5125,72.5717,4.1722,7.9913,102.9311,5.5000,10.1189,157.1862,6.6070,8.2076,110.8963,5.3322
0.3000,0.0100,7.1060,85.2834,4.5930,6.4492,70.1166,4.1941,8.1443,106.9582,5.3934,10.4377,168.5849,6.9478,8.3437,115.2199,5.3965
1.0000,0.0100,7.3617,92.5122,4.6579,6.6600,76.2872,4.1600,8.4607,114.5740,5.7085,10.9499,184.7383,7.7211,8.6902,125.1998,5.6811
3.0000,0.0100,7.3124,91.2489,4.6662,6.6713,76.9576,4.1921,8.1569,105.8331,5.6887,11.0321,185.8906,7.4207,8.6201,122.8938,5.6143
