Dataset,Method,Shot,All,Many,Med,Few,Gain_vs_Base_Method_percent
AgeDB,SRL+LDS+FDS,MAE,7.32,6.81,8.14,9.81,
AgeDB,SRL+LDS+FDS,Gain_vs_LDS+FDS,3.05,3.23,3.89,6.75,
AgeDB,SRL+RankSim,MAE,7.29,6.57,8.58,10.48,
AgeDB,SRL+RankSim,Gain_vs_RankSim,1.62,-1.23,1.72,16.96,
AgeDB,SRL+BalancedMSE,MAE,7.24,6.77,7.86,9.85,
AgeDB,SRL+BalancedMSE,Gain_vs_BalancedMSE,9.27,10.69,9.14,0.89,
AgeDB,SRL+ConR,MAE,7.40,6.87,8.08,10.50,
AgeDB,SRL+ConR,Gain_vs_ConR,0.14,-5.53,8.39,13.80,
IMDB-WIKI,SRL+LDS+FDS,MAE,7.61,7.03,12.28,21.77,
IMDB-WIKI,SRL+LDS+FDS,Gain_vs_LDS+FDS,1.66,2.64,5.40,8.19,
IMDB-WIKI,SRL+RankSim,MAE,7.67,7.08,12.40,22.85,
IMDB-WIKI,SRL+RankSim,Gain_vs_RankSim,0.65,-1.15,14.61,11.75,
IMDB-WIKI,SRL+BalancedMSE,MAE,7.74,7.13,12.77,22.04,
IMDB-WIKI,SRL+BalancedMSE,Gain_vs_BalancedMSE,8.19,9.06,4.35,5.29,
IMDB-WIKI,SRL+ConR,MAE,7.56,7.01,12.03,21.71,
IMDB-WIKI,SRL+ConR,Gain_vs_ConR,3.68,1.96,16.23,13.68,
